2025-04-23 16:15:16.292 | INFO     | __main__:launch_browser:109 - Chrome launched with persistent profile – assuming already logged in.
2025-04-23 16:15:23.266 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Fergus_Falls_Ugeblad_1902_09_04_2.pdf (sidebar flow)
2025-04-23 16:15:23.284 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Fergus_Falls_Ugeblad_1902_09_04_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:15:23.284 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Fergus_Falls_Ugeblad_1902_09_04_2.pdf
2025-04-23 16:15:27.805 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Fergus_Falls_Ugeblad_1902_09_04_2.pdf (sidebar flow)
2025-04-23 16:15:27.809 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Fergus_Falls_Ugeblad_1902_09_04_2.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:15:27.809 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Fergus_Falls_Ugeblad_1902_09_04_2.pdf
2025-04-23 16:15:33.160 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Daily_News_1967_05_24_1.pdf (sidebar flow)
2025-04-23 16:15:33.163 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Daily_News_1967_05_24_1.pdf: Unable to get page count. Is poppler installed and in PATH?
2025-04-23 16:15:33.163 | WARNING  | __main__:scrape_and_ocr:372 - Empty OCR for Daily_News_1967_05_24_1.pdf
2025-04-23 16:15:38.300 | INFO     | __main__:download_current_page_pdf:222 - Downloaded Daily_News_1967_05_24_1.pdf (sidebar flow)
2025-04-23 16:15:38.307 | ERROR    | __main__:extract_paragraph_from_pdf:123 - pdf2image failed on /Volumes/Save/@master/src/data/raw_pdf/Daily_News_1967_05_24_1.pdf: Unable to get page count. Is poppler installed and in PATH?
